Price,Size
499900,1000-1199 sqft
524900,1833 sqft
524900,1268 sqft
375000,1050 sqft
414900,733 sqft
599900,1976 sqft
958000,800-899 sqft
999999,1926 sqft
750000,1175 sqft
499900,1096 sqft
409900,771 sqft
999999,1926 sqft
950000,2000-2500 sqft
1259900,2000-2500 sqft
549900,777 sqft
Null,Null
849900,1342 sqft
950000,2000-2500 sqft
549000,1121 sqft
419900,499 sqft
Null,Null
Null,Null
375000,1175 sqft
699000,Null
699000,Null
489900,1020 sqft
875000,1357 sqft
1625000,5500 sqft
399900,1095 sqft
575000,1210 sqft
1350000,3757 sqft
975000,2805 sqft
569900,675 sqft
1595000,2795 sqft
539900,1266 sqft
1568000,2358 sqft
